아벨,MPID_アベル
기네비어,MPID_ギネヴィア
스리즈,MPID_水着スリーズ
스리즈,MPID_スリーズ
스리즈,MPID_年明スリーズ
군터,MPID_ギュンター
구스타프,MPID_愛の祭グスタフ
구스타프,MPID_グスタフ味方
기이,MPID_ギィ
웬디,MPID_ウェンディ
하르,MPID_ハール
하르,MPID_忍者ハール
카자하나,MPID_忍者カザハナ
카자하나,MPID_カザハナ
카자하나,MPID_愛の祭カザハナ
간즈,MPID_ガンズ
하피,MPID_ハピ
하딘,MPID_暗黒ハーディン
하딘,MPID_ハーディン
호크아이,MPID_ホークアイ
히스,MPID_ヒース
히스,MPID_忍者ヒース
헥토르,MPID_総選挙ヘクトル
헥토르,MPID_比翼ヘクトル
헥토르,MPID_ヘクトル
헥토르,MPID_愛の祭ヘクトル
헥토르,MPID_伝承ヘクトル
헬,MPID_ヘル味方
헬빈디,MPID_ヘルビンディ味方
헬빈디,MPID_水着ヘルビンディ
헨리에테,MPID_愛の祭ヘンリエッテ
헨리,MPID_ハロヘンリー
헨리,MPID_春祭ヘンリー
헨리,MPID_ヘンリー
힐다,MPID_比翼ヒルダ
힐다,MPID_開花ヒルダ
힐다,MPID_冬祭ヒルダ
힐다,MPID_ヒルダ
힐다,MPID_聖戦ヒルダ
히나타,MPID_花婿ヒナタ
히나타,MPID_ヒナタ
히노카,MPID_ヒノカ2
히노카,MPID_比翼ヒノカ
히노카,MPID_温泉ヒノカ
히노카,MPID_ヒノカ
홀스트,MPID_ホルスト
프리즈,MPID_フリーズ
프리즈,MPID_年明フリーズ
휴베르트,MPID_ヒューベルト
휴,MPID_ヒュウ
맥베스,MPID_マクベス
이둔,MPID_イドゥン
이둔,MPID_開花イドゥン
이둔,MPID_比翼イドゥン
이그나츠,MPID_冬祭イグナーツ
이글레느,MPID_イグレーヌ
이글레느,MPID_忍者イグレーヌ
아이크,MPID_総選挙アイク
아이크,MPID_比翼アイク
아이크,MPID_愛の祭アイク
아이크,MPID_伝承アイク
아이크,MPID_アイク
아이크,MPID_暴走アイク
이레스,MPID_幼少イレース
이레스,MPID_イレース
이레스,MPID_ハロイレース
잉그리트,MPID_イングリット
잉그리트,MPID_水着イングリット
아주르,MPID_春祭アズール
아주르,MPID_舞踏祭アズール
히니어스,MPID_水着ヒーニアス
히니어스,MPID_幼少ヒーニアス
히니어스,MPID_ヒーニアス
이슈타르,MPID_開花イシュタル
이슈타르,MPID_舞踏イシュタル
이슈타르,MPID_イシュタル
이츠키,MPID_樹
쟈팔,MPID_ジャファル
쟈팔,MPID_冬祭ジャファル
제이건,MPID_ジェイガン
조커,MPID_ハロジョーカー
조커,MPID_ジョーカー
쟈므카,MPID_ジャムカ
죠르쥬,MPID_ジョルジュ
제랄트,MPID_ジェラルト
질,MPID_ジル
조지,MPID_ジョージ
요슈아,MPID_開花ヨシュア
요슈아,MPID_ヨシュア
요슈아,MPID_水着ヨシュア
유리아,MPID_伝承ユリア
유리아,MPID_催眠ユリア
유리아,MPID_ユリア
유리아,MPID_聖祭ユリア
줄리앙,MPID_ジュリアン
율리우스,MPID_ユリウス
유노,MPID_花嫁ユーノ
니시키,MPID_ニシキ
니시키,MPID_年明ニシキ
카게로,MPID_ハロカゲロウ
카게로,MPID_カゲロウ
카게로,MPID_春祭カゲロウ
카무이,MPID_外伝カムイ
칸나,MPID_カンナ女
칸나,MPID_カンナ男
카렐,MPID_カレル
카린,MPID_カリン
카아라,MPID_双界カアラ
카아라,MPID_ハタリカアラ
카아라,MPID_カアラ
카타리나,MPID_砂漠カタリナ
카타리나,MPID_カタリナ
스즈카제,MPID_スズカゼ
플란넬,MPID_フランネル
플란넬,MPID_年明フランネル
켐프후,MPID_ケンプフ
켄트,MPID_ケント
키사라기,MPID_キサラギ
키리아,MPID_霧亜
데젤,MPID_デジェル
클레인,MPID_クレイン
클리프,MPID_クリフ
놀,MPID_ノール
크리스,MPID_砂漠クリス男
크리스,MPID_クリス男
크리스,MPID_クリス女
크로니예,MPID_クロニエ
쿠르트나가,MPID_ハロクルトナーガ
키사,MPID_年明キサ
라첼,MPID_ハロラーチェル
라첼,MPID_ラーチェル
라첼,MPID_幼少ラーチェル
라케시스,MPID_舞踏ラケシス
라케시스,MPID_ラケシス
레갸른,MPID_水着レーギャルン
레갸른,MPID_比翼レーギャルン
레갸른,MPID_開花レーギャルン
레갸른,MPID_年明レーギャルン
레갸른,MPID_レーギャルン味方
레바테인,MPID_水着レーヴァテイン
레바테인,MPID_年明レーヴァテイン
레바테인,MPID_忍者レーヴァテイン
레바테인,MPID_レーヴァテイン味方
라크체,MPID_ラクチェ
라크체,MPID_聖祭ラクチェ
라람,MPID_花嫁ララム
라람,MPID_ララム
라즈왈드,MPID_ラズワルド
리아네,MPID_リアーネ
라갈트,MPID_ラガルト
로로,MPID_ローロー
리프,MPID_双界リーフ
리프,MPID_リーフ
리프,MPID_伝承リーフ
레일라,MPID_怪盗レイラ
레일라,MPID_レイラ
레나,MPID_レナ
리인,MPID_リーン
레온,MPID_行楽レオン
레온,MPID_水着レオン
레온,MPID_愛の祭レオン
레온,MPID_レオン
레오,MPID_レオ
레오니,MPID_水着レオニー
레테,MPID_レテ
레테,MPID_年明レテ
레티시아,MPID_レティシア味方
레빈,MPID_レヴィン
레빈,MPID_聖祭レヴィン
렉스,MPID_レックス
리베라,MPID_リベラ
리브,MPID_リーヴ2味方
리브,MPID_リーヴ味方
리브,MPID_比翼リーヴ
리피스,MPID_海賊リフィス
리리나,MPID_水着リリーナ
리리나,MPID_花嫁リリーナ
리리나,MPID_愛の祭リリーナ
리리나,MPID_リリーナ
리리나,MPID_伝承リリーナ
릴리스,MPID_リリス
릴리스,MPID_闇リリス
림스텔라,MPID_リムステラ
린다,MPID_双界リンダ
린다,MPID_リンダ
린다,MPID_水着リンダ
린하르트,MPID_リンハルト
라이나스,MPID_ライナス
리즈,MPID_冬祭リズ
리즈,MPID_リズ
리즈,MPID_愛の祭リズ
로이드,MPID_ロイド
로키,MPID_春祭ロキ
로키,MPID_ロキ味方
론쿠,MPID_ロンクー
로렌츠,MPID_水着ローレンツ
루이즈,MPID_花嫁ルイーズ
루이즈,MPID_ルイーズ
루키노,MPID_ルキノ
루키나,MPID_総選挙ルキナ
루키나,MPID_愛の祭ルキナ
루키나,MPID_ルキナ
루키나,MPID_伝承ルキナ
루키나,MPID_春祭ルキナ
루세아,MPID_ルセア
루드벡,MPID_ルドベック
루우,MPID_ルゥ
루카,MPID_行楽ルカ
루카,MPID_ルカ
루크,MPID_ルーク
뤼미에르,MPID_ルミエル
루테,MPID_ルーテ
루테,MPID_水着ルーテ
류트,MPID_リュート
류트,MPID_春祭リュート
린,MPID_炎部族リン
린,MPID_総選挙リン
린,MPID_花嫁リン
린,MPID_水着リン
린,MPID_リン
린,MPID_伝承リン
린,MPID_比翼リン
린,MPID_愛の祭リン
리온,MPID_魔王リオン
리온,MPID_幼少リオン
리온,MPID_リオン
리온,MPID_水着リオン
리레,MPID_年明リィレ
리시테아,MPID_リシテア
리시테아,MPID_総選挙リシテア
리시테아,MPID_双界リシテア
메이,MPID_メイ
마리스,MPID_マリス
마모리,MPID_まもり
마누엘라,MPID_冬祭マヌエラ
마샤,MPID_マーシャ
마리타,MPID_開花マリータ
마리타,MPID_マリータ
마리타,MPID_魔剣マリータ
마리아,MPID_マリア
마리아,MPID_春祭マリア
마리안,MPID_マリアンヌ
마리안,MPID_総選挙マリアンヌ
마리아벨,MPID_マリアベル
마리카,MPID_マリカ
마리카,MPID_春祭マリカ
마르스,MPID_花婿マルス
마르스,MPID_マルス
마르스,MPID_仮面ルキナ
마르스,MPID_伝承マルス
마르스,MPID_幼少マルス
마르스,MPID_総選挙マルス
마르스,MPID_比翼マルス
마틸다,MPID_マチルダ
마슈,MPID_マシュー
마티스,MPID_マチス
메디우스,MPID_神階メディウス
밀레디,MPID_ミレディ
메르세데스,MPID_メルセデス
메르세데스,MPID_水着メルセデス
마리너스,MPID_マリナス
마리크,MPID_幼少マリク
마리크,MPID_マリク
와유,MPID_幼少ワユ
와유,MPID_双界ワユ
와유,MPID_ワユ
와유,MPID_ハロワユ
미카야,MPID_比翼ミカヤ
미카야,MPID_ミカヤ
미카야,MPID_総選挙ミカヤ
미카야,MPID_伝承ミカヤ
미카야,MPID_夏祭ミカヤ
미카야,MPID_水着ミカヤ
미셰일,MPID_ミシェイル
미셰일,MPID_春祭ミシェイル
미도리코,MPID_ミドリコ
미코토,MPID_夢ミコト
미라,MPID_神階ミラ
미네르바,MPID_幼少ミネルバ
미네르바,MPID_ミネルバ
미네르바,MPID_春祭ミネルバ
루피너스,MPID_神階ルピナス
루피너스,MPID_冬祭ルピナス
미란다,MPID_ミランダ
미리엘,MPID_ミリエル
미스트,MPID_ミスト
미스트,MPID_愛の祭ミスト
모니카,MPID_モニカ
모우디,MPID_炎部族モゥディ
모우디,MPID_モゥディ
마크,MPID_闇マーク女
마크,MPID_闇マーク男
마크,MPID_マーク男
마크,MPID_マーク女
무와림,MPID_闇ムワリム
무스펠,MPID_ムスペル味方
무스펠,MPID_炎部族ムスペル
무스타파,MPID_ムスタファー
미르라,MPID_ミルラ
미르라,MPID_伝承ミルラ
미르라,MPID_ハロミルラ
미르라,MPID_双界ミルラ
네사라,MPID_海賊ネサラ
네사라,MPID_ネサラ
나가,MPID_神階ナーガ
나가,MPID_ハロナーガ
나기,MPID_ナギ
응응,MPID_ンン
니케,MPID_花嫁ニケ
니케,MPID_ハタリニケ
니케,MPID_ニケ
난나,MPID_伝承ナンナ
난나,MPID_聖祭ナンナ
난나,MPID_ナンナ
나셴,MPID_春祭ナーシェン
나셴,MPID_ナーシェン
나타샤,MPID_ナターシャ
나발,MPID_忍者ナバール
나발,MPID_ナバール
네이미,MPID_ネイミー
네메시스,MPID_ネメシス
네페니,MPID_ネフェニー
네페니,MPID_舞踏ネフェニー
니플,MPID_ニフル味方
니플,MPID_水着ニフル
니이메,MPID_ニイメ
제로,MPID_ゼロ
제로,MPID_ハロゼロ
닐스,MPID_ニルス
닐스,MPID_ハロニルス
에포닌,MPID_エポニーヌ
에포닌,MPID_比翼エポニーヌ
니니안,MPID_花嫁ニニアン
니니안,MPID_催眠ニニアン
니니안,MPID_伝承ニニアン
니니안,MPID_ニニアン
니노,MPID_冬祭ニノ
니노,MPID_ニノ2
니노,MPID_ニノ
니노,MPID_カダインニノ
느와르,MPID_水着ノワール
노른,MPID_水着ノルン
노른,MPID_ノルン
노트,MPID_ノート味方
노노,MPID_ハロノノ
노노,MPID_ノノ
니나,MPID_ニーナ
닉스,MPID_ニュクス
오보로,MPID_花嫁オボロ
오보로,MPID_オボロ
오딘,MPID_オーディン
오그마,MPID_水着オグマ
오그마,MPID_オグマ
올리버,MPID_オリヴァー
올리비에,MPID_オリヴィエ
올리비에,MPID_舞踏祭オリヴィエ
올리비에,MPID_オリヴィエ2
올웬,MPID_オルエン
올웬,MPID_オルエン2
오펠리아,MPID_オフェリア
오펠리아,MPID_魔器オフェリア
오로치,MPID_オロチ
올슨,MPID_闇オルソン
오스카,MPID_オスカー
오신,MPID_オーシン
오트르,MPID_オッテル味方
우드,MPID_ウード
우드,MPID_愛の祭ウード
파오라,MPID_春祭パオラ
파오라,MPID_パオラ
파오라,MPID_外伝パオラ
파오라,MPID_比翼パオラ
벨벳,MPID_ベルベット
벨벳,MPID_年明ベルベット
페레아스,MPID_ペレアス
판트,MPID_花婿パント
판트,MPID_パント
피아니,MPID_比翼ピアニー
피아니,MPID_神階ピアニー
퍼시벌,MPID_パーシバル
피에리,MPID_ピエリ
페트라,MPID_ペトラ
프라하,MPID_プラハ
피레인,MPID_フィレイン
피나,MPID_フィーナ
플루메리아,MPID_プルメリア味方
플루메리아,MPID_年明プルメリア
파리스,MPID_パリス
프리실라,MPID_プリシラ
파이슨,MPID_パイソン
큐안,MPID_舞踏キュアン
큐안,MPID_キュアン
라피엘,MPID_花婿ラフィエル
레이,MPID_レイ
라이,MPID_ライ
라파엘,MPID_砂漠ラファエル
라스,MPID_ラス
레이반,MPID_レイヴァン
레베카,MPID_レベッカ
레긴,MPID_年明レギン
레긴,MPID_レギン
라인하르트,MPID_舞踏ラインハルト
라인하르트,MPID_ラインハルト
라인하르트,MPID_ラインハルト2
레나크,MPID_レナック
류시온,MPID_リュシオン
샤라,MPID_シャラ
레아,MPID_暴走レア
레아,MPID_ハロレア
킬로이,MPID_水着キルロイ
리카드,MPID_怪盗リカード
리히트,MPID_リヒト
아브,MPID_アーヴ
리네아,MPID_舞踏リネア
린카,MPID_炎部族リンカ
린카,MPID_リンカ
루플레,MPID_伝承ルフレ男
루플레,MPID_ハロルフレ男
루플레,MPID_ハロルフレ女
루플레,MPID_邪竜ルフレ男
루플레,MPID_魔器ルフレ女
루플레,MPID_伝承ルフレ女
루플레,MPID_冬祭ルフレ男
루플레,MPID_ルフレ男
루플레,MPID_ルフレ女
루플레,MPID_水着ルフレ女
루플레,MPID_愛の祭ルフレ女
로디,MPID_ロディ
요파,MPID_ハロヨファ
로난,MPID_ロナン
로셰,MPID_ロシェ
로스,MPID_ロス
로이,MPID_双界ロイ
로이,MPID_伝承ロイ
로이,MPID_総選挙ロイ
로이,MPID_ロイ
로이,MPID_愛の祭ロイ
루돌프,MPID_愛の祭ルドルフ
루트거,MPID_ルトガー
료마,MPID_夏祭リョウマ
료마,MPID_リョウマ
료마,MPID_温泉リョウマ
료마,MPID_伝承リョウマ
세이버,MPID_セーバー
사이아스,MPID_サイアス
세인,MPID_セイン
사이조,MPID_サイゾウ
사쿠라,MPID_ハロサクラ
사쿠라,MPID_温泉サクラ
사쿠라,MPID_サクラ
사레프,MPID_春祭サレフ
세일럼,MPID_セイラム
사나키,MPID_花嫁サナキ
사나키,MPID_サナキ
사라,MPID_サラ
사울,MPID_立会人サウル
사이리,MPID_サイリ
스카사하,MPID_スカサハ
자가로,MPID_ザガロ
세이드,MPID_セイズ
세이로스,MPID_神階セイロス
루나,MPID_ルーナ
세라이나,MPID_セライナ
세라이나,MPID_水着セライナ
세리스,MPID_総選挙セリス
세리스,MPID_セリス
세리스,MPID_伝承セリス
키누,MPID_キヌ
키누,MPID_年明キヌ
세페란,MPID_冬祭セフェラン
세라,MPID_セーラ
세테스,MPID_セテス
제트,MPID_水着ゼト
제트,MPID_ゼト
세츠나,MPID_セツナ
세레나,MPID_春祭セレナ
샤미아,MPID_シャミア
샤미아,MPID_忍者シャミア
샤니,MPID_花嫁シャニー
샤니,MPID_シャニー
샤난,MPID_シャナン
샤론,MPID_シャロン
샤론,MPID_春祭シャロン
시마,MPID_シーマ
세즈,MPID_シェズ女
세즈,MPID_シェズ男
세즈,MPID_伝承シェズ女
시구레,MPID_舞踏祭シグレ
시구레,MPID_シグレ
시논,MPID_シノン
시논,MPID_忍者シノン
시노노메,MPID_シノノメ
지크베르트,MPID_ジークベルト
시그룬,MPID_シグルーン
시그룬,MPID_花嫁シグルーン
시구르드,MPID_比翼シグルド
시구르드,MPID_伝承シグルド
시구르드,MPID_シグルド
사이러스,MPID_サイラス
실크,MPID_シルク
실크,MPID_愛の祭シルク
실비아,MPID_シルヴィア
시리우스,MPID_シリウス
솔레이유,MPID_ソレイユ
솔론,MPID_ソロン
소냐,MPID_ソーニャ
소니아,MPID_双界ソニア
소니아,MPID_ソニア
소피야,MPID_ハロソフィーヤ
소피야,MPID_ソフィーヤ
소피야,MPID_花嫁ソフィーヤ
세네리오,MPID_愛の祭セネリオ
세네리오,MPID_幼少セネリオ
세네리오,MPID_セネリオ
세네리오,MPID_カダインセネリオ
사자,MPID_怪盗サザ
사자,MPID_サザ
소티스,MPID_比翼ソティス
소티스,MPID_神階ソティス
소티스,MPID_冬祭ソティス
소르,MPID_ソール
츠바키,MPID_ツバキ
수,MPID_スー
소와레,MPID_ソワレ
스미아,MPID_スミア
수르트,MPID_海賊スルト
수르트,MPID_スルト味方
실뱅,MPID_水着シルヴァン
틸튜,MPID_ティルテュ
타쿠미,MPID_眷属タクミ
타쿠미,MPID_水着タクミ
타쿠미,MPID_年明けタクミ
타쿠미,MPID_愛の祭タクミ
타쿠미,MPID_タクミ
타나,MPID_幼少ターナ
타나,MPID_水着ターナ
타나,MPID_双界ターナ
타나,MPID_ターナ
타니스,MPID_タニス
타니스,MPID_花嫁タニス
타니아,MPID_タニア
티타,MPID_ティータ
테티스,MPID_テティス
사랴,MPID_サーリャ
사랴,MPID_砂漠サーリャ
사랴,MPID_冬祭サーリャ
사랴,MPID_花嫁サーリャ
티트,MPID_ティト
토르,MPID_比翼トール
토르,MPID_トール味方
스라실,MPID_スラシル味方
티반,MPID_ティバーン
티반,MPID_海賊ティバーン
치키,MPID_開花チキ
치키,MPID_水着チキ
치키,MPID_チキ
치키,MPID_総選挙覚醒チキ
치키,MPID_双界チキ
치키,MPID_伝承チキ
치키,MPID_チキ覚醒
치키,MPID_水着チキ覚醒
치키,MPID_催眠チキ
티니,MPID_ティニー
티아마트,MPID_ティアマト
티아마트,MPID_愛の祭ティアマト
로빈,MPID_ロビン
트라반트,MPID_トラバント
스카비오사,MPID_スカビオサ味方
스카비오사,MPID_春祭スカビオサ
츠바사,MPID_つばさ
울르,MPID_神階ウル
우르슬라,MPID_ウルスラ
우르슬라,MPID_水着ウルスラ
우르슬라,MPID_カダインウルスラ
발보,MPID_バルボ
발터,MPID_ヴァルター
벨드,MPID_ベルド
벨루어,MPID_年明ベロア
벨루어,MPID_ベロア
베로니카,MPID_愛の祭ヴェロニカ
베로니카,MPID_総選挙ヴェロニカ
베로니카,MPID_双界ヴェロニカ
베로니카,MPID_ヴェロニカ2味方
베로니카,MPID_春祭ヴェロニカ
비제,MPID_海賊ビーゼ
비오르,MPID_ヴィオール
폴카,MPID_フォルカ
비라크,MPID_ビラク
발하르트,MPID_ヴァルハルト
울프,MPID_ウルフ
월트,MPID_水着ウォルト
리프,MPID_リフ
